"","musym","dmudesc","compname","comppct_r","compkind","drainagecl","slope_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","landform_string","restr_depth","has_textural_B","pscs_clay","surface.rf.high","surface.txclay.high","subclass_prop_crit","subclass_slope_crit","subclass_calc","unit_calc"
"191","1013","MLRA 18 - 2x4d4 Mined Land-Anthraltic Xerorthents cplx, 1 to 15","Anthraltic Xerorthents",30,"taxon above family","excessively",15,8,NA,NA,8,NA,NA,"stream terrace",100,FALSE,2,90,10,"6",3,"NA","NA"
"288","1090","CA6301090","Miltonhills",2,"series","well",30,4,"e","1",4,"e","1","low hill",120,FALSE,5,10,10,"2a",4,"e","8"
"287","1090","CA6301090","Amador",5,"series","well",8,7,"e",NA,7,"e",NA,"low hill",37,FALSE,16,15,20,"4a",2,"e","NA"
"286","1090","CA6301090","Mollic Haploxeralfs",30,"family","well",30,4,"e","3",4,"e","3","terrace",68,TRUE,24.6774193548387,15,20,"2a",4,"e","8"
"285","1090","CA6301090","Ultic Haploxeralfs",60,"family","well",30,4,"e","7",4,"e","7","terrace",152,TRUE,20.445652173913,25,20,"2a",4,"e","7"
"290","1091","CA6301091","Aquic Dystroxerepts",20,"family","somewhat poorly",8,5,"e",NA,5,"e",NA,"stream terrace",200,FALSE,26.5230769230769,14,25,"1d",2,"e","NA"
"289","1091","CA6301091","Ultic Haploxeralfs",80,"family","well",8,3,"e","7",3,"e","7","stream terrace",152,TRUE,21,25,20,"2a",2,"e","7"
"364","128","MLRA 17 - 2x8lf Cogna FSL, 0 to 2, overwash","Columbia",1,"series","somewhat poorly",2,3,"w","2",2,"w","2","flood plain",152,FALSE,13.8026315789474,3,18,"7",1,"w","2"
"365","128","MLRA 17 - 2x8lf Cogna FSL, 0 to 2, overwash","Honcut",1,"series","well",2,3,"c",NA,2,"s","1","flood plain",152,FALSE,10.7631578947368,15,12,"7",1,"w","1"
"363","128","MLRA 17 - 2x8lf Cogna FSL, 0 to 2, overwash","Veritas",3,"series","moderately well",2,3,"s","8",3,"s","8","fan remnant",137,FALSE,10.5,6,16,"2a",1,"s","8"
"366","128","MLRA 17 - 2x8lf Cogna FSL, 0 to 2, overwash","Nord",4,"taxadjunct","well",2,3,"c",NA,1,NA,NA,"fan remnant",152,FALSE,14,0,18,"1d2",1,"NA","NA"
"372","128","MLRA 17 - 2x8lf Cogna FSL, 0 to 2, overwash","Archerdale",6,"series","well",2,3,"s","1",3,"s","1","stream terrace",152,FALSE,40.8486842105263,35,40,"2a",1,"s","5"
"362","128","MLRA 17 - 2x8lf Cogna FSL, 0 to 2, overwash","Cogna",85,"series","well",2,3,"c","1",1,NA,NA,"alluvial fan & terrace",163,FALSE,21,0,18,"1d2",1,"NA","NA"
"258","206","MLRA 18 - 2x8l2 Pentz SL, 2 to 15","Alamo",2,"series","poorly",2,5,"s",NA,5,"s",NA,"drainageway & fan remnant & depression",84,FALSE,50,0,60,"3a",1,"w","NA"
"427","206","MLRA 18 - 2x8l2 Pentz SL, 2 to 15","Jennylind",2,"series","well",15,6,"e",NA,6,"e",NA,"erosion remnant",50,FALSE,15,15,20,"4a",3,"e","NA"
"367","206","MLRA 18 - 2x8l2 Pentz SL, 2 to 15","Miltonhills",2,"series","well",30,4,"e","1",4,"e","1","eroded fan remnant sideslope",60,FALSE,17.5666666666667,15,20,"2a",4,"e","8"
"259","206","MLRA 18 - 2x8l2 Pentz SL, 2 to 15","Pardee",2,"series","well",8,6,"e",NA,6,"e",NA,"eroded fan remnant",46,TRUE,18.5,40,18,"6",2,"s","NA"
"260","206","MLRA 18 - 2x8l2 Pentz SL, 2 to 15","Peters",2,"series","well",8,6,"e",NA,6,"e",NA,"hill",38,FALSE,50,15,60,"4a",2,"e","NA"
"261","206","MLRA 18 - 2x8l2 Pentz SL, 2 to 15","Redding",2,"series","moderately well",8,6,"e",NA,6,"e",NA,"fan remnant",56,TRUE,26.2245989304813,35,25,"2a",2,"e","NA"
"257","206","MLRA 18 - 2x8l2 Pentz SL, 2 to 15","Bellota",3,"series","well",8,4,"e","8",4,"e","8","hill",89,TRUE,31.3820224719101,20,20,"2a",2,"e","8"
"256","206","MLRA 18 - 2x8l2 Pentz SL, 2 to 15","Pentz",85,"series","well",15,7,"e",NA,7,"e",NA,"hill",38,FALSE,15,15,18,"4a",3,"e","NA"
"428","207","MLRA 18 - 2x8l3 Pentz SL, 15 to 50","Jennylind",2,"series","well",15,6,"e",NA,6,"e",NA,"erosion remnant",50,FALSE,15,15,20,"4a",3,"e","NA"
"368","207","MLRA 18 - 2x8l3 Pentz SL, 15 to 50","Miltonhills",2,"series","well",50,6,"e",NA,6,"e",NA,"eroded fan remnant sideslope",60,FALSE,17.5666666666667,15,20,"2a",4,"e","NA"
"328","207","MLRA 18 - 2x8l3 Pentz SL, 15 to 50","Pardee",2,"series","well",8,6,"e",NA,6,"e",NA,"eroded fan remnant",46,TRUE,18.5,40,18,"6",2,"s","NA"
"264","207","MLRA 18 - 2x8l3 Pentz SL, 15 to 50","Redding",2,"series","moderately well",8,6,"e",NA,6,"e",NA,"fan remnant",56,TRUE,26.2245989304813,35,25,"2a",2,"e","NA"
"263","207","MLRA 18 - 2x8l3 Pentz SL, 15 to 50","Bellota",5,"series","well",8,4,"e","8",4,"e","8","hill",89,TRUE,31.3820224719101,20,20,"2a",2,"e","8"
"262","207","MLRA 18 - 2x8l3 Pentz SL, 15 to 50","Pentz",85,"series","well",50,7,"e",NA,7,"e",NA,"hill",38,FALSE,15,15,18,"4a",4,"e","NA"
"429","208","MLRA 18 - 2x8l4 Pentz CB-SL, 2 to 8","Jennylind",1,"series","well",15,6,"e",NA,6,"e",NA,"erosion remnant",50,FALSE,15,15,20,"4a",3,"e","NA"
"333","208","MLRA 18 - 2x8l4 Pentz CB-SL, 2 to 8","Alamo",2,"series","poorly",2,5,"s",NA,5,"s",NA,"drainageway & fan remnant & depression",84,FALSE,50,0,60,"3a",1,"w","NA"
"332","208","MLRA 18 - 2x8l4 Pentz CB-SL, 2 to 8","Pardee",3,"series","well",15,6,"e",NA,6,"e",NA,"eroded fan remnant",46,TRUE,18.5,40,18,"6",3,"s","NA"
"331","208","MLRA 18 - 2x8l4 Pentz CB-SL, 2 to 8","Redding",3,"series","moderately well",8,6,"e",NA,6,"e",NA,"fan remnant",56,TRUE,26.2245989304813,35,25,"2a",2,"e","NA"
"330","208","MLRA 18 - 2x8l4 Pentz CB-SL, 2 to 8","Peters",6,"series","well",8,6,"e",NA,6,"e",NA,"hill",38,FALSE,50,15,60,"4a",2,"e","NA"
"329","208","MLRA 18 - 2x8l4 Pentz CB-SL, 2 to 8","Pentz",85,"series","well",8,7,"e",NA,7,"e",NA,"hill",33,FALSE,13.7878787878788,35,18,"4a",2,"e","NA"
"336","209","MLRA 18 - 2x8l5 Pentz-Bellota cplx, 2 to 15","Hicksville",1,"series","moderately well",5,3,"e","1",3,"e","1","stream terrace & drainageway",112,TRUE,28.3392857142857,15,27,"1d",2,"e","8"
"339","209","MLRA 18 - 2x8l5 Pentz-Bellota cplx, 2 to 15","Pardee",2,"series","well",15,6,"e",NA,6,"e",NA,"eroded fan remnant",46,TRUE,18.5,40,18,"6",3,"s","NA"
"337","209","MLRA 18 - 2x8l5 Pentz-Bellota cplx, 2 to 15","Archerdale",3,"series","well",2,3,"s","1",3,"s","1","stream terrace & drainageway",152,FALSE,42,0,40,"2a",1,"s","5"
"338","209","MLRA 18 - 2x8l5 Pentz-Bellota cplx, 2 to 15","Peters",8,"series","well",8,6,"e",NA,6,"e",NA,"hill",38,FALSE,50,15,60,"4a",2,"e","NA"
"335","209","MLRA 18 - 2x8l5 Pentz-Bellota cplx, 2 to 15","Bellota",31,"series","well",8,4,"e","8",4,"e","8","hill",89,TRUE,31.3820224719101,20,20,"2a",2,"e","8"
"334","209","MLRA 18 - 2x8l5 Pentz-Bellota cplx, 2 to 15","Pentz",55,"series","well",15,7,"e",NA,7,"e",NA,"hill",36,FALSE,16,15,18,"4a",3,"e","NA"
"343","212","MLRA 18 - 2x8l6 Peters C, 2 to 8","Alamo",3,"series","poorly",2,5,"s",NA,5,"s",NA,"drainageway & fan remnant & depression",84,FALSE,50,0,60,"3a",1,"w","NA"
"344","212","MLRA 18 - 2x8l6 Peters C, 2 to 8","Pardee",3,"series","well",15,6,"e",NA,6,"e",NA,"eroded fan remnant",46,TRUE,18.5,40,18,"6",3,"s","NA"
"342","212","MLRA 18 - 2x8l6 Peters C, 2 to 8","Redding",4,"series","moderately well",8,6,"e",NA,6,"e",NA,"fan remnant",56,TRUE,26.2245989304813,35,25,"2a",2,"e","NA"
"341","212","MLRA 18 - 2x8l6 Peters C, 2 to 8","Pentz",5,"series","well",15,7,"e",NA,7,"e",NA,"hill",38,FALSE,15,15,18,"4a",3,"e","NA"
"340","212","MLRA 18 - 2x8l6 Peters C, 2 to 8","Peters",85,"series","well",8,6,"e",NA,6,"e",NA,"hill",38,FALSE,50,15,60,"4a",2,"e","NA"
"181","220","MLRA 17 - 2w8bm Redding gravelly loam, 0 to 8 percent slopes, dry","Redding",85,"series","moderately well",8,4,"e",NA,4,"e",NA,"fan remnant",56,TRUE,26.3021582733813,35,25,"2a",2,"e","8"
"359","301","MLRA 17 - 2x8ld Archerdale-Hicksville assoc, 0 to 2","Capay",1,"series","moderately well",2,3,"s","5",3,"s","5","basin floor",152,FALSE,45,0,55,"2a",1,"s","5"
"361","301","MLRA 17 - 2x8ld Archerdale-Hicksville assoc, 0 to 2","Finrod",1,"series","moderately well",2,3,"s","3",3,"s","3","alluvial fan",102,FALSE,42.0196078431373,0,50,"2a",1,"s","8"
"360","301","MLRA 17 - 2x8ld Archerdale-Hicksville assoc, 0 to 2","Nord",1,"taxadjunct","well",2,3,"e","1",1,NA,NA,"fan remnant",152,FALSE,14,0,18,"1d2",1,"NA","NA"
"412","301","MLRA 17 - 2x8ld Archerdale-Hicksville assoc, 0 to 2","Ultic Haploxerolls",5,"family","well",3,4,"e","4",4,"e","4","meander scar & stream terrace",110,FALSE,16.0666666666667,15,20,"1d",2,"e","11"
"374","301","MLRA 17 - 2x8ld Archerdale-Hicksville assoc, 0 to 2","Hollenbeck",7,"series","moderately well",3,3,"e","5",3,"e","1","backswamp & flood plain & swale",107,FALSE,48.1775700934579,0,60,"7",2,"w","8"
"373","301","MLRA 17 - 2x8ld Archerdale-Hicksville assoc, 0 to 2","Hicksville",20,"series","moderately well",2,3,"e","1",2,"e","1","stream terrace",152,TRUE,29.2456140350877,35,27,"1d2",1,"c","7"
"371","301","MLRA 17 - 2x8ld Archerdale-Hicksville assoc, 0 to 2","Archerdale",65,"series","well",2,3,"s","1",3,"s","1","stream terrace",152,FALSE,40.8486842105263,35,40,"2a",1,"s","5"
"249","3020","CA6303020","McCarthy",10,"taxadjunct","well",15,4,"e","1",4,"e","1","lahar",91,FALSE,13.0926470195546,45,18,"6",3,"s","8"
"226","3020","CA6303020","Iron Mountain",75,"series","somewhat excessively",15,8,NA,NA,8,NA,NA,"lahar",22,FALSE,16,35,20,"4b",3,"NA","NA"
"248","3021","MLRA 22A - 2mdj8 Iron Mountain-Crozier-Rock outcrop cplx, 15 to 60","McCarthy",10,"taxadjunct","well",60,7,"e",NA,7,"e",NA,"lahar",91,FALSE,13.0926470195546,45,18,"6",5,"e","NA"
"228","3021","MLRA 22A - 2mdj8 Iron Mountain-Crozier-Rock outcrop cplx, 15 to 60","Crozier",35,"taxadjunct","well",60,7,"e",NA,7,"e",NA,"lahar",91,TRUE,22.16,15,20,"2a",5,"e","NA"
"227","3021","MLRA 22A - 2mdj8 Iron Mountain-Crozier-Rock outcrop cplx, 15 to 60","Iron Mountain",40,"series","somewhat excessively",60,8,NA,NA,8,NA,NA,"lahar",15,FALSE,18.2,35,20,"4b",5,"NA","NA"
"246","3033","MLRA 22A - 2p8nd Redapple-Lilygap cplx, 15 to 30, lo precip","Ledmount",3,"series","well",30,6,"e",NA,6,"e",NA,"lahar",45,FALSE,17.3555555555556,35,18,"4a",4,"e","NA"
"251","3033","MLRA 22A - 2p8nd Redapple-Lilygap cplx, 15 to 30, lo precip","Devilsnose",10,"series","well",30,4,"e","1",4,"e","1","lahar",165,TRUE,18.6669491751719,15,18,"2a",4,"e","3"
"250","3033","MLRA 22A - 2p8nd Redapple-Lilygap cplx, 15 to 30, lo precip","Lilygap",39,"series","well",30,4,"e","1",4,"e","1","lahar",190,TRUE,16.5827586897488,15,20,"2a",4,"e","3"
"252","3033","MLRA 22A - 2p8nd Redapple-Lilygap cplx, 15 to 30, lo precip","Redapple",47,"series","well",30,4,"e","3",4,"e","3","lahar",200,TRUE,44.1151509140477,15,27,"2a",4,"e","3"
"247","3038","MLRA 22A - 2djch Devilsnose-Lilygap cplx, 30 to 60, lo precip","Iron Mountain",10,"series","somewhat excessively",60,8,NA,NA,8,NA,NA,"lahar",14,FALSE,19.2857142857143,35,18,"4b",5,"NA","NA"
"255","3038","MLRA 22A - 2djch Devilsnose-Lilygap cplx, 30 to 60, lo precip","Redapple",12,"series","well",60,7,"e",NA,7,"e",NA,"lahar",200,TRUE,44.1151509140477,15,27,"2a",5,"e","NA"
"254","3038","MLRA 22A - 2djch Devilsnose-Lilygap cplx, 30 to 60, lo precip","Lilygap",35,"series","well",60,7,"e",NA,7,"e",NA,"lahar",190,TRUE,16.5827586897488,15,20,"2a",5,"e","NA"
"253","3038","MLRA 22A - 2djch Devilsnose-Lilygap cplx, 30 to 60, lo precip","Devilsnose",40,"series","well",60,7,"e",NA,7,"e",NA,"lahar",165,TRUE,18.6669491751719,15,18,"2a",5,"e","NA"
"153","3046","MLRA 18 - 20mmx Goldwall-Toomes-Rock outcrop cplx, 1 to 8","Aquic Haploxeralfs",2,"taxon above family","poorly",3,5,"w",NA,5,"w",NA,"lava plateau",61,TRUE,30.1176470588235,15,20,"3a",2,"w","NA"
"1","3046","MLRA 18 - 20mmx Goldwall-Toomes-Rock outcrop cplx, 1 to 8","Ultic Argixerolls",5,"taxon above family","well",3,3,"e","7",3,"e","7","lava plateau",97,TRUE,22.1944444444444,15,20,"2a",2,"e","8"
"12","3046","MLRA 18 - 20mmx Goldwall-Toomes-Rock outcrop cplx, 1 to 8","Toomes",28,"series","well",8,7,"e",NA,7,"e",NA,"lava plateau",33,FALSE,12,15,20,"4a",2,"e","NA"
"152","3046","MLRA 18 - 20mmx Goldwall-Toomes-Rock outcrop cplx, 1 to 8","Goldwall",45,"series","moderately well",8,7,"s",NA,7,"s",NA,"lava plateau",15,FALSE,10,15,20,"4b",2,"s","NA"
"284","3058","MLRA 18 - 2n89j Shawsflat-Angelscreek cplx, 25 to 60","Miltonhills",5,"series","well",60,7,"e",NA,7,"e",NA,"lava plateau",81,FALSE,15.1639344262295,10,20,"1d",5,"e","NA"
"283","3058","MLRA 18 - 2n89j Shawsflat-Angelscreek cplx, 25 to 60","Pentz",5,"series","well",60,8,NA,NA,8,NA,NA,"lava plateau",23,FALSE,18.695652173913,15,20,"4b",5,"NA","NA"
"66","3058","MLRA 18 - 2n89j Shawsflat-Angelscreek cplx, 25 to 60","Angelscreek",15,"series","well",60,7,"e",NA,7,"e",NA,"lava plateau",152,TRUE,28.1818181818182,15,25,"2a",5,"e","NA"
"133","3058","MLRA 18 - 2n89j Shawsflat-Angelscreek cplx, 25 to 60","Shawsflat",65,"series","well",60,7,"e",NA,7,"e",NA,"lava plateau",74,FALSE,20.4324324324324,60,25,"6",5,"e","NA"
"349","401","MLRA 18 - 2x8l8 Peters-Pentz assoc, 2 to 8","Hicksville",1,"series","moderately well",2,3,"e","1",2,"e","1","stream terrace & drainageway",152,TRUE,29.2456140350877,35,27,"1d2",1,"c","7"
"351","401","MLRA 18 - 2x8l8 Peters-Pentz assoc, 2 to 8","Hollenbeck",1,"series","moderately well",3,4,"e","1",4,"e","1","backswamp & flood plain & swale",107,FALSE,48.1775700934579,0,60,"7",2,"w","8"
"422","401","MLRA 18 - 2x8l8 Peters-Pentz assoc, 2 to 8","Miltonhills",1,"series","well",30,4,"e","1",4,"e","1","eroded fan remnant sideslope",60,FALSE,17.5666666666667,15,20,"2a",4,"e","8"
"348","401","MLRA 18 - 2x8l8 Peters-Pentz assoc, 2 to 8","Archerdale",2,"series","well",2,3,"s","1",3,"s","1","stream terrace & drainageway",152,FALSE,40.8486842105263,35,40,"2a",1,"s","5"
"347","401","MLRA 18 - 2x8l8 Peters-Pentz assoc, 2 to 8","Redding",7,"series","moderately well",5,6,"e",NA,6,"e","8","fan remnant",56,TRUE,26.2245989304813,35,25,"2a",2,"e","NA"
"350","401","MLRA 18 - 2x8l8 Peters-Pentz assoc, 2 to 8","Pentz",28,"series","well",8,6,"e",NA,6,"e",NA,"hill",41,FALSE,17.6111111111111,25,18,"4a",2,"e","NA"
"345","401","MLRA 18 - 2x8l8 Peters-Pentz assoc, 2 to 8","Peters",60,"series","well",5,7,"e",NA,7,"e",NA,"hill",35,FALSE,40.8571428571429,9,40,"4a",2,"e","NA"
"245","4040","MLRA 22A - 2r6fg Iron Mountain-Redapple-Devilsnose cplx, 3 to 15","McCarthy",5,"taxadjunct","well",15,4,"e","1",4,"e","1","lahar",91,FALSE,13.0926470195546,45,18,"6",3,"s","8"
"244","4040","MLRA 22A - 2r6fg Iron Mountain-Redapple-Devilsnose cplx, 3 to 15","Devilsnose",25,"series","well",15,3,"e","1",3,"e","1","lahar",165,TRUE,18.6669491751719,15,18,"2a",3,"e","3"
"235","4040","MLRA 22A - 2r6fg Iron Mountain-Redapple-Devilsnose cplx, 3 to 15","Redapple",30,"series","well",15,3,"e","1",3,"e","1","lahar",200,TRUE,44.1151509140477,15,27,"2a",3,"e","3"
"242","4040","MLRA 22A - 2r6fg Iron Mountain-Redapple-Devilsnose cplx, 3 to 15","Iron Mountain",35,"series","somewhat excessively",15,8,NA,NA,8,NA,NA,"lahar",15,FALSE,4,35,20,"4b",3,"NA","NA"
"240","4046","MLRA 22A - 2djcm Redapple-Lilygap cplx, 15 to 30","Devilsnose",10,"series","well",30,4,"e","1",4,"e","1","lahar",165,TRUE,18.6669491751719,15,18,"2a",4,"e","3"
"236","4046","MLRA 22A - 2djcm Redapple-Lilygap cplx, 15 to 30","Lilygap",39,"series","well",30,4,"e","1",4,"e","1","lahar",190,TRUE,16.5827586897488,15,20,"2a",4,"e","3"
"241","4046","MLRA 22A - 2djcm Redapple-Lilygap cplx, 15 to 30","Redapple",50,"series","well",30,4,"e","1",4,"e","1","lahar",200,TRUE,44.1151509140477,15,27,"2a",4,"e","3"
"239","4048","MLRA 22A - 2djcl Devilsnose-Lilygap cplx, 30 to 60","Redapple",13,"series","well",60,7,"e",NA,7,"e",NA,"lahar",200,TRUE,44.1151509140477,15,27,"2a",5,"e","NA"
"238","4048","MLRA 22A - 2djcl Devilsnose-Lilygap cplx, 30 to 60","Lilygap",35,"series","well",60,7,"e",NA,7,"e",NA,"lahar",190,TRUE,16.5827586897488,15,20,"2a",5,"e","NA"
"237","4048","MLRA 22A - 2djcl Devilsnose-Lilygap cplx, 30 to 60","Devilsnose",50,"series","well",60,7,"e",NA,7,"e",NA,"lahar",165,TRUE,18.6669491751719,15,18,"2a",5,"e","NA"
"84","4136","CA6304136","Ultic Haploxeralfs",50,"taxon above family","well",35,6,"e",NA,6,"e",NA,"hill",82,TRUE,26.9868421052632,10,20,"2a",4,"e","NA"
"119","4136","CA6304136","Ultic Haploxeralfs",50,"taxon above family","well",35,6,"e",NA,6,"e",NA,"hill",46,TRUE,19.9130434782609,10,20,"4a",4,"e","NA"
"103","4200","CA6304200","Pentz",10,"series","well",15,7,"e",NA,7,"e",NA,"lahar",32,TRUE,19.6785714285714,15,20,"4a",3,"e","NA"
"104","4200","CA6304200","Angelscreek",20,"series","well",15,3,"e","7",3,"e","7","saddle & ridge & lahar",152,TRUE,27.1939388043953,15,20,"2a",3,"e","11"
"105","4200","CA6304200","Inks",67,"series","well",15,7,"e",NA,7,"e",NA,"ridge & lahar",46,TRUE,24.4782608695652,15,20,"4a",3,"e","NA"
"109","4201","CA6304201","Inks",5,"series","well",30,7,"e",NA,7,"e",NA,"lahar",21,TRUE,16.8571428571429,30,20,"4b",4,"s","NA"
"108","4201","CA6304201","Pachic Ultic Argixerolls",5,"taxon above family","well",30,4,"e","3",4,"e","3","lahar",113,TRUE,26.4690265486726,10,20,"1d",4,"e","8"
"107","4201","CA6304201","Pentz",15,"series","well",30,7,"e",NA,7,"e",NA,"lahar",23,FALSE,8.39999961853027,15,20,"4b",4,"s","NA"
"106","4201","CA6304201","Angelscreek",69,"series","well",30,4,"e","7",4,"e","7","lahar",152,FALSE,29.1176470588235,25,20,"2a",4,"e","7"
"281","4202","CA6304202","Inks",5,"series","well",60,8,NA,NA,8,NA,NA,"lahar",30,TRUE,22.2,15,20,"4a",5,"NA","NA"
"282","4202","CA6304202","Pachic Ultic Argixerolls",5,"taxon above family","well",60,8,NA,NA,8,NA,NA,"lahar",152,TRUE,23.421875,10,20,"1d",5,"NA","NA"
"111","4202","CA6304202","Pentz",15,"series","well",60,8,NA,NA,8,NA,NA,"lahar",24,FALSE,15.5,15,20,"4b",5,"NA","NA"
"110","4202","CA6304202","Angelscreek",65,"series","well",60,7,"e",NA,7,"e",NA,"lahar",152,TRUE,25.2173913043478,15,20,"2a",5,"e","NA"
"352","451","MLRA 18 - 2x8l9 Pentz-Peters assoc, 2 to 15","Archerdale",1,"series","well",2,3,"s","1",3,"s","1","stream terrace & drainageway",152,FALSE,40.8486842105263,35,40,"2a",1,"s","5"
"370","451","MLRA 18 - 2x8l9 Pentz-Peters assoc, 2 to 15","Miltonhills",5,"series","well",30,4,"e","1",4,"e","1","eroded fan remnant sideslope",60,FALSE,17.5666666666667,15,20,"2a",4,"e","8"
