"","peiid","pedon_id","siteiid","site_id","obs_date","utmzone","utmeasting","utmnorthing","x","y","horizdatnm","musym","areasym","mlra"
"1","207242","S2007CA109005",254459,"06-SMM-007",2006-10-03,10,729321,4204365,-120.389778137207,37.9579467773438,"NAD83","7212","CA630","18"
"2","207254","S2007CA109004",254484,"06-JCR-006",2006-11-02,10,742775,4207883,-120.235610961914,37.9861373901367,"NAD83","6038","CA630","22A"
"3","242796","S2007CA009001",254492,"07-SMM-015",2007-04-05,10,723463,4251017,-120.441749572754,38.3794708251953,"NAD83","8161","CA630","22A"
"4","242798","S2007CA109003",254485,"07-SMM-008",2007-03-29,10,718573,4190167,-120.516304016113,37.8327751159668,"NAD83","8034","CA630","18"
"5","242801","S2007CA109006",254457,"07-SMM-007",2007-04-26,10,728104,4204707,-120.403511047363,37.9613494873047,"NAD83","7212","CA630","18"
"6","242805","S2007CA109001",254488,"07-JCR-001",2007-04-05,10,714616,4191767,-120.560722351074,37.8480834960938,"NAD83","7076","CA630","18"
"7","242808","S2007CA009002",254491,"07-JCR-002",2007-04-02,10,700783,4201935,-120.715026855469,37.9428634643555,"NAD83","7076","CA630","18"
"8","249581","S08CA109002",309600,"S2007CA630RJV001",2007-05-31,10,741475,4187889,-120.257095336914,37.8064842224121,"NAD83","8178","CA630","18"
"9","253445","S07CA009006",297063,"S2007CA630SMM017",2007-06-04,10,724459,4251310,-120.430358886719,38.3818054199219,"NAD83","8287","CA630","22A"
"10","258871","S07CA009003",297065,"S2007CA630SMM042",2007-10-19,10,722140,4257176,-120.454940795898,38.4352493286133,"NAD83","6041","CA630","22A"
"11","258901","S07CA009008",297067,"S2007CA630SMM045",2007-10-22,10,724585,4256904,-120.427024841309,38.4321632385254,"NAD83","4040","CA630","22A"
"12","260218","S07CA009004",297064,"S2007CA630SMM040",2007-10-16,10,724540,4256592,-120.427528381348,38.4326362609863,"NAD83","4040","CA630","22A"
"13","260234","S07CA009005",297066,"S2007CA630SMM044",2007-10-19,10,726251,4259713,-120.40705871582,38.4570579528809,"NAD83","4048","CA630","22A"
"14","261793","S08CA009001",309597,"S2007CA630DWB016",2007-07-18,10,720907,4227300,-120.478363037109,38.1665306091309,"NAD83","8171","CA630","22A"
"15","261847","S2007DWB015",374592,"R07CA630DWB015",2007-07-18,10,721215,4227529,-120.474807739258,38.1685523986816,"NAD83","8171","CA630","22A"
"16","268843","S08CA009003",309596,"S2007CA630SMM019",2007-06-07,10,728854.83,4252273.81,-120.379722595215,38.3894424438477,"NAD83","6039","CA630","22A"
"17","307587","S08CA109001",309599,"S2008CA630AMS017",2008-06-04,10,734822.09,4196883.26,-120.329719543457,37.8891639709473,"NAD83","7210","CA630","18"
"18","307597","S08CA009002",309598,"S2008CA630DWB025",2008-08-06,10,726140.64,4230815.35,-120.417495727539,38.1969451904297,"NAD83","8160","CA630","22A"
"19","307602","S09CA109003",346939,"S2008CA630BJM001",2008-03-24,10,733453.48,4201733.97,-120.343612670898,37.9333305358887,"NAD83","6074","CA630","18"
"20","308078","S09CA009003",346941,"S2008CA630DWB003",2008-04-16,10,715200.57,4231088.1,-120.542221069336,38.2019462585449,"NAD83","8171","CA630","22A"
"21","338020","S2007DWB005",374590,"R07CA630DWB005",2007-06-13,10,719802.32,4230200.04,-120.48999786377,38.193058013916,"NAD83","8190","CA630","22A"
"22","338032","S09CA109002",346942,"S2009CA630BJM017",2008-11-13,10,742138.2,4182760.26,-120.251388549805,37.7599983215332,"NAD83","7156","CA630","18"
"23","338498","S09CA109001",346945,"S2009CA630SMM004",2009-03-24,10,719884.52,4194521.47,-120.5,37.8716659545898,"NAD83","7155","CA630","18"
"24","342445","S09CA009002",346944,"S2009CA630CKS001",2009-03-23,10,713136.19,4200626.04,-120.574996948242,37.9283294677734,"NAD83","7076","CA630","18"
"25","342446","S09CA109005",346946,"S2009CA630SMM005",2009-04-03,10,740748.14,4196286.67,-120.262496948242,37.8822212219238,"NAD83","7210","CA630","18"
"26","342447","S09CA109004",346943,"S2009CA630BJM031",2009-03-25,10,720170.55,4194359.47,-120.496940612793,37.8699989318848,"NAD83","7155","CA630","18"
"27","342479","S09CA009001",346940,"S2008CA630DWB001",2008-04-15,10,714968,4231305,-120.544891357422,38.2040557861328,"NAD83","8172","CA630","22A"
"28","351623","S2007DWB007",374591,"R07CA630DWB007",2007-06-20,10,722138.76,4235550.71,-120.46166229248,38.2405548095703,"NAD83","8172","CA630","22A"
"29","352512","S2008DWB020",374593,"R08CA630DWB020",2008-07-08,10,712146.86,4235617.06,-120.575828552246,38.2436103820801,"NAD83","8172","CA630","22A"
"30","352514","S2008DWB022",374594,"R08CA630DWB022",2008-07-15,10,716587.97,4236147.56,-120.524993896484,38.2472229003906,"NAD83","8160","CA630","22A"
"31","365289","S2009BAH003",374595,"R09CA630BAH003",2009-05-12,10,745444.93,4185830.16,-120.212776184082,37.7869453430176,"NAD83","8177","CA630","22A"
"32","365290","S2009BAH004",374596,"R09CA630BAH004",2009-05-13,10,746193.11,4185076.98,-120.204444885254,37.7799987792969,"NAD83","8175","CA630","22A"
"33","365291","S2009BJM027",374597,"R09CA630BJM027",2009-03-19,10,743113.38,4190933.77,-120.237495422363,37.8333320617676,"NAD83","8161","CA630","22A"
"34","365292","S2009SMM007",374607,"R09CA630SMM007",2009-07-14,10,725960.35,4248330.43,-120.414169311523,38.3547210693359,"NAD83","8162","CA630","22A"
"35","365293","S2009SMM009",374608,"R09CA630SMM009",2009-07-15,10,722374.26,4249109.82,-120.454719543457,38.3624992370605,"NAD83","8161","CA630","22A"
"36","365294","S2009SMM011",374609,"R09CA630SMM011",2009-07-15,10,723447.88,4249268.6,-120.442497253418,38.3636093139648,"NAD83","8287","CA630","22A"
"37","365295","S2009SMM014",374610,"R09CA630SMM014",2009-07-21,6,727836.69,4245339.83,-120.393608093262,38.327220916748,"NAD83","8287","CA630","22A"
"38","365296","S2009SMM006",374606,"R09CA630SMM006",2009-05-13,10,725362.08,4248617.96,-120.420829772949,38.3574981689453,"NAD83","8162","CA630","22A"
"39","365297","S09CA009005",374257,"S2009CA630SMM021",2009-08-04,10,726686.77,4243838.33,-120.4072265625,38.3138885498047,"NAD83","4040","CA630","22A"
"40","365298","S09CA009006",374258,"S2009CA630SMM023",2009-08-05,10,728924.58,4241240.16,-120.382499694824,38.2900009155273,"NAD83","4040","CA630","22A"
"41","365299","S09CA009007",374259,"S2009CA630SMM024",2009-08-06,10,728965.25,4241709.09,-120.381942749023,38.2941665649414,"NAD83","4048","CA630","22A"
"42","365300","S2009CKS040",374600,"R09CA630CKS040",2009-07-16,10,715958.22,4249039.69,-120.528053283691,38.3636093139648,"NAD83","8162","CA630","22A"
"43","365301","S2009CKS043",374602,"R09CA630CKS043",2009-07-21,10,716729.09,4248506.11,-120.519439697266,38.3586082458496,"NAD83","8160","CA630","22A"
"44","365302","S2009CKS044",374603,"R09CA630CKS044",2009-07-21,10,717775.87,4245191.01,-120.508613586426,38.3283309936523,"NAD83","8161","CA630","22A"
"45","365303","S2009CKS049",374604,"R09CA630CKS049",2009-08-03,10,716488.15,4236579.28,-120.525825500488,38.2511100769043,"NAD83","8173","CA630","22A"
"46","365304","S2009CKS054",374605,"R09CA630CKS054",2009-08-18,10,718102.4,4248955.91,-120.503608703613,38.3622207641602,"NAD83","8162","CA630","22A"
"47","365305","S2009BJM052",374599,"R09CA630BJM052",2009-05-15,10,746662.78,4185159.57,-120.199165344238,37.7805557250977,"NAD83","8194","CA630","22A"
"48","366597","S2009BJM035",374598,"R09CA630BJM035",2009-04-02,10,743030.91,4189986.12,-120.238609313965,37.8250007629395,"NAD83","8161","CA630","22A"
"49","374988","09BJM030",375239,"S2010CA109004",2009-03-20,10,743761.4,4188406.43,-120.230834960938,37.8105545043945,"NAD83","8160","CA630","22A"
"50","385426","R11CA109001",385256,"09CA630BJM048",2009-04-30,10,745344.97,4184353.08,-120.21443939209,37.773609161377,"NAD83","6078","CA630","22A"
"51","425292","10CKS003",428036,"10CA630CKS003",2010-03-18,10,716017,4204008,-120.54118347168,37.9580078125,"NAD83","7074","CA630","18"
"52","425293","10MJE005",428037,"10CA630MJE005",2010-03-11,10,716471,4210399,-120.534088134766,38.0154495239258,"NAD83","7088","CA630","18"
"53","425294","09BJM095",428038,"09CA630BJM095",2009-08-13,10,719559,4240472,-120.489677429199,38.2854843139648,"NAD83","5053","CA630","22A"
"54","530660","S2011CA009004",540954,"10CA630BJM074",2010-11-10,10,700875.72,4212270.09,-120.71110534668,38.035831451416,"NAD83","7083","CA630","18"
"55","533095","67-CA-05-036x",543589,"S1967-CA-05-036x",2009-01-21,10,722010.36,4244950.08,-120.460266113281,38.3251991271973,"NAD83","3020","CA630","22A"
"56","533096","67-CA-05-033x",543590,"S1967-CA-05-033x",2009-01-21,10,710180.92,4248652.29,-120.594383239746,38.3613891601562,"NAD83","8162","CA630","22A"
"57","533097","67-CA-05-026x",543591,"S1967-CA-05-026x",2009-01-21,10,700551.17,4224564.18,-120.711326599121,38.1466751098633,"NAD83","6071","CA630","18"
"58","533098","67-CA-55-004x",543592,"S1967-CA-55-004x",2009-01-14,10,712577.19,4195124.32,-120.58292388916,37.8788223266602,"NAD83","3046","CA630","18"
"59","533099","66-CA-05-013x",543593,"S1966-CA-05-013x",2008-10-21,10,708822.31,4189327.27,-120.627258300781,37.8274841308594,"NAD83",NA,NA,"18"
"60","533172","66-CA-05-007x",543666,"S1966-CA-05-007x",2009-01-23,10,712929.31,4200358.67,-120.577377319336,37.9258728027344,"NAD83","7076","CA630","18"
"61","533179","66-CA-05-018x",543673,"S1966-CA-05-018x",2009-01-23,10,700179.76,4199485.31,-120.72257232666,37.9209060668945,"NAD83","7085","CA630","18"
"62","533190","66-CA-05-019x",543684,"S1966-CA-05-019x",2009-01-23,10,698954.29,4205535.23,-120.734825134277,37.9756622314453,"NAD83","7085","CA630","18"
"63","533191","66-CA-05-008x",543685,"S1966-CA-05-008x",2009-01-23,10,698596.26,4200661.85,-120.740249633789,37.9318466186523,"NAD83","7076","CA630","18"
"64","533194","66-CA-05-014x",543688,"S1966-CA-05-014x",2008-10-21,10,708822.31,4189327.27,-120.627258300781,37.8274841308594,"NAD83","7085","CA630","18"
"65","533216","80-CA-05-084x",543710,"S1980-CA-05-084x",2009-03-02,10,687208,4226838,-120.75267791748,38.169059753418,"NAD83","5201","CA630","18"
"66","533224","67-CA-05-035x",543718,"S1967-CA-05-035x",2009-01-21,10,718657.55,4248529.24,-120.49747467041,38.3582496643066,"NAD83","8162","CA630","22A"
"67","533232","73-CA-55-012x",543726,"S1973-CA-55-012x",2009-02-27,10,722951.69,4193679.8,-120.465507507324,37.8633346557617,"NAD83","7155","CA630","18"
"68","533236","77-CA-55-036x",543730,"S1977-CA-55-036x",2009-03-02,10,746671.14,4215372.16,-120.188720703125,38.0525016784668,"NAD83","6029","CA630","22A"
"69","533238","SO4-hwy49-716",543732,"SO4-hwy49-716",2008-08-06,10,742258.08,4182533.33,-120.249984741211,37.7580604553223,"NAD83","7156","CA630","18"
"70","533239","77-CA-55-045x",543733,"S1977-CA-55-045x",2009-03-02,10,745863.34,4215326.42,-120.197929382324,38.0523109436035,"NAD83","6036","CA630","22A"
"71","533240","SO4-hwy49-717",543734,"SO4-hwy49-717",2008-08-06,10,725452.24,4196473.01,-120.436241149902,37.8878707885742,"NAD83","8034","CA630","18"
"72","533243","S09CAL-002",543737,"S2009CAL-002",2009-08-13,10,713783.1,4215207.98,-120.563255310059,38.0593872070312,"NAD83","7088","CA630","18"
"73","533246","73-CA-05-066x",543740,"S1973-CA-05-066x",2009-02-27,10,707817.8,4240358.81,-120.623840332031,38.2872619628906,"NAD83","6078","CA630","22A"
"74","533247","73-CA-05-075x",543741,"S1973-CA-05-075x",2009-02-27,10,711864.37,4211690.05,-120.586143493652,38.0281639099121,"NAD83","7089","CA630","18"
"75","533255","75-CA-55-023x",543749,"S1975-CA-55-023x",2009-02-27,10,744605.25,4188916.21,-120.221221923828,37.8148956298828,"NAD83","8161","CA630","22A"
"76","533257","67-CA-05-034x",543751,"S1967-CA-05-034x",2009-01-21,10,710180.92,4248652.29,-120.594383239746,38.3613891601562,"NAD83","8162","CA630","22A"
"77","533272","77-CA-55-040x",543766,"S1977-CA-55-040x",2008-10-20,10,722661.77,4213740.38,-120.462593078613,38.0440368652344,"NAD83","7074","CA630","18"
"78","533281","67-CA-55-001x",543775,"S1967-CA-55-001x",2009-01-14,10,717418.29,4198517.86,-120.526901245117,37.9082412719727,"NAD83","3046","CA630","18"
"79","533286","73-CA-05-071x",543780,"S1973-CA-05-071x",2009-02-27,10,701618.5,4232281.27,-120.696968078613,38.215934753418,"NAD83","7156","CA630","18"
"80","533288","67-CA-05-039x",543782,"S1967-CA-05-039x",2009-01-14,10,725037.17,4258196.04,-120.421440124512,38.4437026977539,"NAD83","4048","CA630","22A"
"81","533289","67-CA-05-037x",543783,"S1967-CA-05-037x",2009-01-21,10,721616.44,4244931.7,-120.464775085449,38.3251304626465,"NAD83","5057","CA630","22A"
"82","533291","73-CA-05-073x",543785,"S1973-CA-05-073x",2009-02-27,10,714793.69,4204049.44,-120.555084228516,37.9586715698242,"NAD83","7155","CA630","18"
"83","533292","67-CA-55-005x",543786,"S1967-CA-55-005x",2009-01-14,10,713648.63,4193597.91,-120.57120513916,37.8648262023926,"NAD83","3046","CA630","18"
"84","533297","77-CA-55-039x",543791,"S1977-CA-55-039x",2009-03-02,10,734013.91,4201345.88,-120.337394714355,37.9295806884766,"NAD83","6074","CA630","18"
"85","533301","67-CA-05-038x",543795,"S1967-CA-05-038x",2009-01-21,10,720605.61,4256910.84,-120.472579956055,38.433235168457,"NAD83","6043","CA630","22A"
"86","533302","67-CA-05-032x",543796,"S1967-CA-05-032x",2009-01-21,10,723861.21,4254156.4,-120.436187744141,38.4076309204102,"NAD83","6037","CA630","22A"
